,0,1,2,3
0,-4.8677487,-1.0723078,-0.30539742,-4.765745
1,-4.563665,-0.6263642,-0.03218168,-4.6784344
2,-4.497101,-0.3530432,0.08301377,-4.5663123
3,-4.523325,-0.58504003,-0.059918776,-4.5940795
4,-4.4863954,-0.50417817,0.05075127,-4.709247
5,-4.8041086,-0.88719726,-0.048802376,-4.5994473
6,-4.3470902,-0.35078433,0.28567362,-4.265141
7,-4.6987877,-0.6970472,-0.27567428,-4.7539363
8,-4.781457,-0.8361108,-0.2644511,-4.887399
9,-4.689996,-0.65522504,-0.16556564,-4.673724
10,-4.788146,-0.96260005,-0.3440703,-4.9719152
11,-4.453839,-0.39005038,0.24722196,-4.3344855
12,-4.5573883,-0.5862167,0.057793766,-4.4639945
13,-4.329838,-0.3357208,0.1549942,-4.404704
14,-4.271439,-0.16565603,0.21504617,-4.363892
15,-4.197562,-0.2770305,-0.27811366,-4.8229775
16,-4.658445,-0.7822597,-0.05922082,-4.6804476
17,-4.839316,-0.88346,-0.34539694,-4.9456644
18,-4.397843,-0.48184276,0.022048503,-4.595356
19,-4.2093205,-0.28130358,-0.070466965,-4.5568476
20,-4.378909,-0.29663938,-0.32288712,-4.773022
21,-4.3143992,-0.34834132,0.3085324,-4.2211413
22,-4.608252,-0.7041558,-0.02271378,-4.704924
23,-4.301925,-0.270826,0.041496843,-4.6308684
24,-4.8420835,-0.80023485,-0.024773002,-4.652019
25,-4.611717,-0.5822137,-0.28396,-4.820313
26,-4.6079116,-0.74216366,-0.33915985,-4.8055115
27,-4.4700923,-0.44865626,-0.19249612,-4.7609496
28,-4.499844,-0.47843704,0.07487914,-4.6521006
29,-4.2943883,-0.34431803,0.2662394,-4.1835356
30,-4.5228515,-0.57267475,-0.31661594,-4.783949
31,-4.985999,-0.98049253,-0.2841774,-4.8438625
32,-4.673259,-0.7618413,-0.38314742,-4.8720493
33,-4.737959,-0.78476924,-0.031105459,-4.6448684
34,-4.6411614,-0.6981638,-0.4300732,-4.9397106
35,-4.3041,-0.33379343,0.16353002,-4.4385076
36,-4.034084,-0.015179157,0.46206555,-4.118784
37,-4.60883,-0.6709964,-0.20409903,-4.6706276
38,-4.474955,-0.35271037,-0.11440563,-4.7453437
39,-4.6083713,-0.6707029,-0.10586645,-4.7977595
40,-4.4088564,-0.33582717,0.11935438,-4.4662914
41,-4.335589,-0.24963641,0.14112242,-4.4121737
42,-4.202902,-0.20932844,-0.011041984,-4.570393
43,-4.7288256,-0.8176558,-0.4009679,-4.9089174
44,-4.1864767,-0.33767805,0.21957842,-4.4157233
45,-4.3686304,-0.44668102,-0.106121585,-4.639992
46,-4.917751,-1.0650429,-0.28246263,-4.84809
47,-4.335039,-0.36814263,0.15481484,-4.516325
48,-4.7526402,-0.8234892,-0.3618495,-4.903058
49,-4.4016476,-0.51120603,-0.18607621,-4.6488457
50,-4.86974,-1.0316944,-0.4458673,-4.9902525
51,-4.5606303,-0.6357231,-0.011948764,-4.620624
52,-4.3543844,-0.34757584,-0.11568561,-4.6492276
53,-4.2412796,-0.09735,0.56313646,-4.2198596
54,-4.7826977,-0.862304,-0.07861036,-4.727453
55,-4.7040567,-0.7162366,-0.21512347,-4.8057942
56,-4.559307,-0.563416,0.16996317,-4.440994
57,-4.3399534,-0.45922825,0.03751631,-4.5454993
58,-4.3486433,-0.28907698,0.15066916,-4.408302
59,-4.6686664,-0.8355695,-0.06910679,-4.6540694
60,-4.2185907,-0.29533407,-0.24662887,-4.770116
61,-4.431212,-0.37653613,-0.050191924,-4.512051
62,-4.4322176,-0.48415142,-0.10890658,-4.7191815
63,-4.488732,-0.49858326,0.14152488,-4.513673
64,-4.5896688,-0.5613425,0.036932945,-4.543841
65,-4.45072,-0.5778372,0.2077438,-4.392201
66,-4.5286083,-0.5009863,-0.108982325,-4.7064123
67,-4.648593,-0.51060635,-0.10805958,-4.790423
68,-4.581527,-0.5297177,-0.35175234,-4.9087176
69,-4.0872626,-0.22814508,0.36673853,-4.28982
70,-4.5724783,-0.48982424,0.32153907,-4.270674
71,-4.350262,-0.29787782,-0.4435818,-4.857505
72,-4.4628396,-0.46979886,-0.10071644,-4.5170493
73,-4.4877434,-0.5008571,-0.04132992,-4.594416
74,-4.5625663,-0.6254554,0.11083494,-4.524927
75,-4.805755,-0.7254032,-0.37523553,-4.9719224
76,-4.2247195,-0.33425307,0.37565726,-4.242181
77,-4.4658365,-0.5020213,-0.15111989,-4.66226
78,-4.5070333,-0.48115185,-0.12393397,-4.702954
79,-4.4597263,-0.46204424,-0.1904853,-4.6405787
80,-4.3398743,-0.4359008,-0.04074178,-4.5484605
81,-4.477443,-0.54758304,-0.10141034,-4.6858506
82,-4.4007297,-0.3905394,0.47139555,-4.1999383
83,-4.5112314,-0.42862007,0.054147005,-4.6200686
84,-4.867904,-0.99070436,-0.38535383,-4.855673
85,-3.985371,-0.014504641,0.41640902,-4.1357775
86,-4.3826814,-0.52303034,0.16737875,-4.355682
87,-4.4895186,-0.47343546,0.18030055,-4.405476
88,-4.8826056,-0.8951442,-0.39509535,-4.945997
89,-4.4366527,-0.4615568,-0.05484108,-4.521384
90,-4.29778,-0.33236307,-0.06865984,-4.569975
91,-4.461876,-0.44468176,-0.034607008,-4.6026034
92,-4.736628,-0.83813375,-0.27274913,-4.7307386
93,-4.490935,-0.43553323,0.20440055,-4.3860693
94,-4.896848,-1.0209111,-0.45755595,-4.9767094
95,-4.4121485,-0.4184274,0.23860717,-4.3546324
96,-4.7050962,-0.68221116,-0.3580066,-4.9567304
97,-4.249597,-0.3165036,0.011559576,-4.480229
98,-4.4536886,-0.55142826,-0.16996442,-4.712935
99,-4.506516,-0.51024723,0.20097144,-4.367098
100,-4.627697,-0.69138753,0.18183988,-4.3738403
101,-4.640121,-0.60313606,-0.35768324,-4.886671
102,-4.8633795,-0.840396,-0.301301,-4.95175
103,-4.6801786,-0.83820933,-0.13541651,-4.7362285
104,-4.3753357,-0.47302014,0.24681199,-4.3108435
105,-4.755947,-0.76589257,-0.27890292,-4.8197813
106,-4.627084,-0.53764194,-0.09042675,-4.7587905
107,-4.498965,-0.50674355,-0.2595791,-4.840937
108,-4.6135783,-0.59501374,-0.13480988,-4.7209444
109,-4.698281,-0.7772183,-0.3347383,-4.8957295
110,-4.6527443,-0.6778069,-0.5431558,-4.9828653
111,-4.2202973,-0.2343051,0.4195849,-4.169351
112,-4.530283,-0.50187826,-0.03296733,-4.687193
113,-4.8404465,-0.96174353,-0.40515035,-4.804772
114,-4.6004133,-0.54137933,0.15185747,-4.4892187
115,-4.704304,-0.80719244,-0.13549489,-4.6254406
116,-4.7291503,-0.73109215,-0.30185178,-4.8520284
117,-4.483496,-0.6047624,0.052630767,-4.711855
118,-4.5705104,-0.77221584,-0.14839295,-4.661225
119,-4.314125,-0.22271511,0.081711315,-4.4615693
120,-4.41443,-0.38803375,0.009930477,-4.5892253
121,-4.455895,-0.519023,-0.33340296,-4.822506
122,-4.529993,-0.5086314,-0.18564418,-4.795973
123,-4.687761,-0.7818029,-0.14336379,-4.7487464
124,-4.336087,-0.28625852,0.13392295,-4.384614
125,-4.5329857,-0.4931879,-0.299128,-4.8619285
126,-4.3198047,-0.27726167,0.014121786,-4.6253834
127,-4.4114895,-0.46551102,0.25701433,-4.3374114
128,-4.394826,-0.42587733,0.054134145,-4.515536
129,-4.259151,-0.22749451,0.20392963,-4.492628
130,-4.6007686,-0.64458156,-0.26339626,-4.8883343
131,-4.326056,-0.32160637,-0.23581839,-4.676378
132,-4.52838,-0.62012935,-0.32365185,-4.7832117
133,-4.360246,-0.3542484,-0.06386857,-4.6990643
134,-4.520197,-0.5746146,0.12691608,-4.361602
135,-4.280537,-0.337853,-0.0064294934,-4.584031
136,-4.399043,-0.36361638,-0.35858774,-4.843849
137,-4.662657,-0.8046019,-0.29416132,-4.789823
138,-4.0037193,-0.055760384,0.07988626,-4.469781
139,-4.6635194,-0.74557304,-0.2202885,-4.8318152
140,-4.4553165,-0.4744489,0.11948085,-4.4700446
141,-4.8448606,-0.83274907,-0.5143238,-4.943127
142,-4.4854465,-0.48083514,0.07591303,-4.4865685
143,-4.5371456,-0.5226378,0.087344915,-4.5558643
144,-4.644588,-0.63845325,-0.16921002,-4.8662133
145,-4.73922,-0.6522673,-0.49041757,-4.9293203
146,-4.2248187,-0.2514726,0.4218502,-4.0990524
147,-4.208457,-0.13081406,0.6269916,-4.0989723
148,-4.752963,-0.799283,-0.024694264,-4.6624136
149,-4.5316944,-0.5060315,-0.042206325,-4.497311
150,-4.20459,-0.26157758,0.19681787,-4.39826
151,-4.6675816,-0.7143685,-0.31270558,-4.823721
152,-4.4844394,-0.56406325,0.18312106,-4.4279346
153,-4.946892,-1.0072076,-0.30846244,-4.9306436
154,-4.3685546,-0.25848967,-0.13703659,-4.6996565
155,-4.5253186,-0.5221297,-0.28915244,-4.841604
156,-4.639172,-0.6544304,-0.15537879,-4.725447
157,-4.4807014,-0.47381672,0.18493767,-4.4399166
158,-4.746129,-0.7419126,-0.005016066,-4.6574645
159,-4.5887556,-0.64996725,0.053469904,-4.531735
160,-4.5190825,-0.48615474,-0.057615772,-4.719816
161,-4.167014,-0.20349774,0.33523086,-4.243843
162,-4.745649,-0.71855724,-0.21322304,-4.691977
163,-4.4628553,-0.597949,0.50832933,-4.12211
